location,primary_source,mistry_2021,prem_2021,prem_2017
United_States_West_Virginia,mistry_2021,True,False,False
United_States_Wisconsin,mistry_2021,True,False,False
United_States_Wyoming,mistry_2021,True,False,False
Uruguay,prem_2021,False,True,True
Uzbekistan,prem_2021,False,True,True
Vanuatu,prem_2021,False,True,True
Venezuela,prem_2021,False,True,True
Vietnam,prem_2021,False,True,True
Yemen,prem_2021,False,True,True
Zambia,prem_2021,False,True,True
Zimbabwe,prem_2021,False,True,True
